id,name,birth_date,address,city,zip,state,phone_number
963,Lauren Buret,1979/08/31,Suite 10,Erie,16505,PA,814-571-3690
964,Antons Sewart,1970/11/09,10th Floor,Miami,33283,FL,305-566-7184
965,Dorrie Kretchmer,1969/06/01,9th Floor,Jacksonville,32259,FL,904-970-7532
966,Emyle Triebner,1995/12/29,Suite 52,Hollywood,33023,FL,305-330-3314
967,Kassia Rennolds,1967/07/13,Suite 15,Austin,78721,TX,512-913-1682
968,Bone Couldwell,1994/09/02,13th Floor,Austin,78732,TX,512-522-3805
969,Erda Spieck,1985/05/24,Apt 1672,Tucson,85720,AZ,520-809-0841
970,Dexter Wisby,1977/10/26,PO Box 23238,Washington,20244,DC,202-862-6459
971,Nissie Souness,2000/02/20,PO Box 7115,Irvine,92619,CA,949-772-6878
972,Sammy Zannotelli,1952/10/03,Room 475,Detroit,48224,MI,313-764-1130
973,Allister Doorbar,1967/10/23,16th Floor,North Little Rock,72118,AR,501-429-9257
974,Herby Kleinholz,1972/07/25,1st Floor,Washington,20029,DC,202-100-5333
975,Shani Rosewell,1958/11/12,7th Floor,Birmingham,35210,AL,334-777-3664
976,Jena Beach,1977/09/19,PO Box 19199,Tempe,85284,AZ,480-342-3022
977,Grantham Carlisso,1975/08/15,Suite 56,Detroit,48224,MI,313-771-6591
978,Ariel Wrightam,1998/09/25,PO Box 68204,Birmingham,35285,AL,205-613-9342
979,Cyndie Klaessen,1994/04/21,Room 1221,Houston,77025,TX,832-217-5794
980,Courtney Croad,1970/07/02,Suite 6,Largo,34643,FL,727-745-4028
981,Terrie Atterley,1970/09/19,Suite 58,Columbia,65211,MO,573-886-2845
982,Adam Plenty,1965/11/28,Suite 94,Indianapolis,46266,IN,317-205-9198
983,Merna Caplan,1985/06/19,Suite 30,Saint Louis,63169,MO,314-123-5078
984,Gianina Wimmers,1955/12/06,Apt 1805,Washington,20392,DC,202-408-5094
985,Renato Blazey,2002/05/04,PO Box 53273,Grand Rapids,49518,MI,616-407-6356
986,Carmelle Stanyard,1979/09/01,Suite 48,Portsmouth,00214,NH,603-846-1083
987,Demetris Faro,1966/02/13,10th Floor,Pompano Beach,33069,FL,954-693-6583
988,Janaye Haining,1967/05/05,Room 382,Gilbert,85297,AZ,480-418-6406
989,Winny Bonhome,1993/07/23,Apt 1692,Oklahoma City,73119,OK,405-462-7549
990,Teddy Winspear,1996/01/07,Apt 76,Charleston,29403,SC,843-564-5404
991,Cob Carlyon,1998/01/17,8th Floor,Shawnee Mission,66276,KS,913-667-3201
992,Franz Rosiello,1995/09/13,Suite 50,Cincinnati,45271,OH,513-348-9646
993,Ardis Giorgiutti,1961/03/15,Suite 59,Huntsville,77343,TX,936-448-7593
994,Lindsay Siddons,2002/01/09,PO Box 42484,El Paso,79940,TX,915-502-1029
995,Brent Learned,2001/01/31,Apt 104,Jackson,39236,MS,601-867-1841
996,Diane-marie de Clerk,1954/07/09,Apt 520,Aurora,60505,IL,630-190-0577
997,Baird Truckell,1958/05/14,Room 89,Saint Louis,63110,MO,314-990-6757
998,Sallyanne Rameaux,1988/06/23,Suite 15,Huntington Beach,92648,CA,714-686-7697
999,Harrietta Peret,1959/07/31,15th Floor,Buffalo,14233,NY,716-274-0605
1000,Bevvy Tybalt,1991/11/27,PO Box 96784,Springfield,62764,IL,217-934-4291
